name
Accrobranche
Acrosport
Aérobic
Aéromodélisme
Aérostation
Agility
Aïkido
Airsoft
Alpinisme
Aquabiking
Aquagym
Aquajogging
Aquarunning
Aquathlon
Aquatriathlon
Athlétisme
Automobile
Aviation
Aviron
Apnée
Baby-foot
Badminton
Base-jump
Baseball
Basket-ball
Bateau-Dragon
Béhourd
Biathlon
Billard
Bloc (escalade)
BMX
Boardercross
Bobsleigh
Boccia
Bodyboard
Boomerang
Boule lyonnaise
Bowling
boxe anglaise 
boxe birmane 
boxe française
boxe thaïlandaise
Bras de fer
Bridge (jeu de carte)
Canicross
Calcio Florentin
Canoë
Canoë-kayak
Canyoning
Capoeira
Carrom
Catamaran
Catch
Cheerleading
Coasteering
Combat
Compétition automobile
Course à pied
Course camarguaise
Course d'orientation
Cricket
Croquet
Cross (équitation)
Cross-country
Cross triathlon
Crosse
CrossFit
Culturisme
Curling
Cyclisme
Cyclo-cross
Danse
Dames
Décathlon
Décathlon olympique moderne
Deltaplane
Duathlon
Dodgeball
Double Dutch
Échecs
Équitation
Escalade
Escrime
Esports
Formule 1
Formule 2
Formule 3
Formule 4
Flag football
Floorball
Folkrace
Football
Football américain
Football australien
Football gaélique
Footing
Futsal
Glisse
Golf
Gouren
Grappling
Gymnastique
Gymnastique rythmique
Haka pei
Hakko-Ryu
Haltérophilie
Handball
Hockey
Hockey subaquatique
Hockey sur gazon
Hockey sur glace
Horse-ball
Hurling
Hapkido
Iaïdo
Jeu de paume
Ju-Jitsu
Joutes nautiques
Judo
Javelot tir sur cible
Jiu-jitsu brésilien
Jet ski
jive
jonglerie
Kabaddi
Kaninhop
Karaté
Karting
Kayak
Kempo
Kendo
Kenjutsu
Kickball
Kick-boxing américain 
Kick-boxing japonais
Kitesurfing
Kin-ball
Kobudo
Kung fu
Krav maga
Kronum
Kyudo
Lancer de disque
Lancer de javelot
Lancer de marteau
Lancer de poids
Luge de course
Lutte
Marche
Marche aquatique côtière (longe côte)
Marche nordique
Monocycle
Motomarine
Motoneige (sentier)
Motoneige (hors piste)
Moto (vitesse)
Moto (endurance)
Moto (cross)
Moto (trial)
Moto (enduro)
Musculation
Marathon
MMA
Naban
Natation
Natation synchronisée
Nautisme
Netball
Omnikin
Paddle
Padel
Paintball
Parachutisme
Parapente
Parkour
Patin à glace
Patinage
Patinage artistique
Patinage de vitesse
Patinage synchronisé
Pêche sportive
Pelote basque
Pentathlon moderne
Pétanque
Pilates
Ping-Pong
Planche à voile
Planeur (ou vol à voile)
Plongée en apnée
Plongée
Plongée sportive en piscine
Plongeon
Plumfoot
Pole dance
Polo
Qi gong
Quad
Quilles de huit
Qwan Ki Do
Rafting
Rallye automobile
Raquette à neige
Régate
Ringuette
Rink hockey
Roller
Roller in line artistique
Roller in line hockey
Rugby à sept
Rugby à XIII
Rugby à XV
Roller derby
Roller Soccer (mini foot en roller)
Sambo
Salsa
Savate (boxe française)
Saut à la perche
Saut à ski
Saut en hauteur
Saut en longueur
Shinty
Skateboard
Skater hockey
Skeleton
Ski
Ski alpin
Ski de fond
Ski nordique
Ski nautique
Slamball
Snorkeling
Snowboard
Snowscoot
Snowskate
Softball
Spéléologie
Squash
Step
Sumo
Supermotard
Surf
Tae Bo
Taekwondo
Tai-chi-chuan
Taihojutsu
Taïso
Tambourin
Tango
Tau'a rapa nui
Tchoukball
Tennis
Tennis de table
Tennis léger
Tir à l'arc
Tir sportif
Trampoline
Triathlon
Tricking
Triple saut
Trottinette freestyle
Twirling
Tumbling
ULM
Ultimate
Unihockey
Varappe
Vélo cross-country
VTT
Voile
Volley-ball
Voltige aérienne
Voltige en cercle
Wakeboard
Water-polo
Wing chun
Waveboard
Xare
Yoga
Yoseikan Budo
Zen Hakko Kaï
Zumba
